Date,Review,Reviewer,Ratings,Userprofilelocation,Userprofilelocation,Parkname,datasource
12/10/2019,"The drive to Washington Oaks gives you a lovely scene of A1A. This venue is such a beautiful place to visit and take photos at. We recently went on a Sunday in early Dec. for our engagement photo shoot. There were a ton of other people taking professional photos as well.It's not surprising as this park has a gorgeous rose garden, sprawling oak trees, a gazebo overlooking a pond and a beach right across the way. It's only $5 to park and there is plenty of it. Christmas decorations are put up in December. I plan to return to the park to truly explore everything it has to offer. There were bathrooms that were clean although I encountered one that didn't have toilet paper. There also is a gift shop on site but when we were there, it was closed.",EmmaJean L.,4 star rating,"Jacksonville, FL","Miami Beach, FL",Washington Oaks Gardens State Park,yelp
12/11/2019,"A very quiet place tucked at the end of a neighborhood. There's a short history of the mounds under the shelter as well as on one of the mounds. You can hike the many trails around it, picnic at the tables near the entrance under the trees, or just relax and enjoy the peacefulness of it all.",Val C.,5 star rating,"Tallahassee, FL","Miami, FL",Lake Jackson Mounds Archaeological State Park,yelp
12/11/2019,We wanted to go on a bike ride and were very disappointed when all this park was was a place to park n go to the beach.we did no it was a beach park n wasted 6 dollars when I should of been free,Kelsie D.,1 star rating,"Hollywood, FL","Miami, FL",Von D. Mizell and Eula Johnson State Park,yelp
12/13/2019,"Tour guide Cara was terrific. She was very knowledgeable about Wesley house and presented well. Tour in December was extra special as local groups competed to win best-decorated room for Christmas. Saw no dolphins in the bayou, but did see striped mullet fish leaping. Park published useful literature identifying numbered points of interest on the grounds. Pamphlets were in the gift shop.",C T.,5 star rating,"Woodbury, MN","St. Augustine, FL",Eden Gardens State Park,yelp
12/13/2019,"I enjoyed my time here. Since Key West has so few beaches, I decided to spend the day here. The beach may be small, but it's actually big by Key West standards. I was happy to have a day at the beach. I drove. I didn't attempt to walk. Too far. I came on vacation to relax. I love history, and the fort was an added bonus. Touring it was a nice respite out of the sun and heat. I didn't bring an umbrella, so I used the natural mangroves to provide some relief. Worked out great. I sat my stuff on one of the picnic tables, laid claim, and headed for the water. The water was nice, but had quite a bit of seaweed in it. I don't know of that's normal, or was due to the storm heading straight for the Keys. I dealt with it, but hope it's not always like that. The price to get in was fine. I was more than willing to pay it, since the beach across from the B&B where I was staying was no bigger than my postage stamp backyard. If you want a beach experience in Key West, then Fort Zachary Taylor State Park is a decent option.",Dana L.,4 star rating,"New Albany, IN","Winter Park, FL",Fort Zachary Taylor State Park Beach,yelp
12/13/2019,"Beautiful location and scenic views. Stunning water, rocks and palm trees. We rented a street legal golf cart and drove around and it was well worth the visit. Would love to return with more time.",Leah W.,5 star rating,"Lacey, WA","Coconut Creek, FL",Fort Zachary Taylor State Park Beach,yelp
12/13/2019,best hiking i've found in niceville. they allow dogs and it's a by car fee. great trails to hike or bike and a beach access area for the dogs to swim (on leash) with docks too. great find!,Hope G.,5 star rating,"Jacksonville, FL","Webster, FL",Rocky Bayou State Park,yelp
12/14/2019,"These caves were amazing! The lighting, the atmosphere the personal touch they put during the tour was great. I went as a solo traveler so had to wait for at least one other person to show up. There we some tight spaces to squeeze through but it was still a great time. Get there early and check out my full video review on Youtube just search Mrbucketlist caves!",MrBucketlist S.,5 star rating,"Orlando, FL","West Palm Beach, FL",Florida Caverns State Park,yelp
12/14/2019,Just the drive to the fort is worth the price of admission.,Susan E.,5 star rating,"Greenbackville, VA","Hollywood, FL",Fort Clinch State Park,yelp
12/14/2019,"Lover's Key State Park was the PERFECT venue for our beach fairytale wedding! When we were venue shopping we were looking for a beach venue where we could have our ceremony, cocktail hour and reception in the sand. This was harder to find than you may think as most venues just have the ceremony in the sand and the remainder of your event in a ballroom. Luckily, my parents saw Lover's Key as an option and it sounded perfect!From our first visit to Lover's Key, we were in LOVE! Lover's Key State Park is like no other venue! And it was everything we were looking for - a dreamy, private beach venue that we could make our own. A venue where no wedding is the same. A place we could have our ceremony, cocktail hour, dinner and dancing all on the sand under the Florida sky. We especially loved riding on the tram through the beautiful nature park that led to the beach where there was a huge gazebo right on the sand, perfect for dancing!From the initial visit, Amanda Reynolds was so helpful in providing us with all the information we would need to make a well informed decision - from recommended vendors, venue layouts, rental pricing, and sample invoices, she had it all ready for us! Amanda was truly phenomenal! She is so sweet and we quickly realized having her to organize and coordinate our wedding was INVALUABLE! She became my right-hand throughout the wedding planning process - working hand-in-hand with myself, our caterer and DJ to create a realistic timeline of events and venue layout. There were a few rental items I fell in love with and Amanda worked hard to secure them for our wedding - namely our white chiavari chairs and our beautiful four-post arch. She was so patient and accommodating and was a the key to making our wedding day run so smoothly. She guided us through our rehearsal and was there the day of to direct my wedding party down the aisle as well as coordinate all the vendors and ensure everything was set up in the correct place the day of the wedding. She even offered to set up our personal decorations on the day of the wedding. When our wedding day came, it was truly MAGICAL! Everything at the venue looked more beautiful than we ever expected! The set up was true to what we discussed and the decorations were so dreamy! Throughout the whole event Amanda was right there for anything we needed! She directed everyone down the aisle and took my husband and I by golf-cart to the driftwood for our photos. She went above and beyond her job description - even helping our photographer to pose us and bustling my dress before the reception. We had a special request for a fire entertainer to perform over dinner which had never been done at Lover's Key before. This was initially declined, but Amanda unexpectedly made it happen! We were overjoyed and our guests are still raving about the performance and our unique venue.So in summary - Lover's Key State Park was the PERFECT venue for the beach wedding of our dreams! Amanda will ensure your wedding day is as perfect as it can be by going above and beyond her job description. Thank you so much Amanda for all you did to make our wedding day so special and so perfect. You really took the stress off of us so we could have a magical and fun wedding day!",Heather S.,5 star rating,"Deerfield Beach, FL","Miami, FL",Lovers Key State Park,yelp
