Date,Review,Reviewer,Ratings,Locationusergeo,Statename,Country,parkname
8/29/2020,"This park is clean, beaches are sandy white. The campsites are spacious and shaded. We traveled in a 26’ travel trailer with one slide. Plenty of room. Bring your bikes",GoPlaces419648,5.0 of 5 bubbles,Jacksonville,Florida,United States,Anastasia State Parktripadvisorreviews
8/4/2020,"As a local, we love Anastasia State Park. We’re here on a Tuesday and we basically have the beach to ourselves. You can walk for miles with no condos or commercial buildings in sight. I’m pretty sure it’s about 1/4 mile from the parking lot to the ocean and this is a long way if you’re (hot, sunburned and...) load up with beach gear. We had 2 chairs, a cooler, an umbrella, and a beach bag and we may have turned back half way there had it not been for our beach wagon with big tires. Bathrooms, showers, snack bar and plenty of parking available for the nominal entrance fee. They even have camping and paddle board rentals but we just hit the beach when we go. Don’t forget the sunscreen. ",SteffaniFletcher,5.0 of 5 bubbles,Ponte Vedra Beach,Florida,United States,Anastasia State Parktripadvisorreviews
7/16/2020,"Anastasia State Park is great. There is a beautiful wide beach which makes social distancing easier. There are pretty white sand dunes although not as large as in other parts of Florida. There is also a nice calm lagoon where you can rent kayaks, paddle boards etc",marcia p,5.0 of 5 bubbles,Jacksonville,Florida,United States,Anastasia State Parktripadvisorreviews
5/18/2020,"This place is absolutely gorgeous. Definitely rent a kayak and become immersed in the unspoiled beauty. Lots of wildlife to see (turtles, birds, fish, dolphins, sharks, etc) ",CGIV,5.0 of 5 bubbles,Jacksonville,Florida,United States,Anastasia State Parktripadvisorreviews
3/11/2020,"This place is special. I am a Florida boy and this place is so so nice. Lots of tent camping spots. My wife and i were in the Sea Bean loop . Lots of shade. Lots of privacy. No RV.Tents only it seemed. Bathroom have good hot water . They are breezy and thus cool/cold in the winter. A terrific dish wash  area. Highly functional.The beach and dunes are spectacular the hikes are a "" tad"" short but there is a couple of miles of beach.  An early march trip so no bugs. Very close to St. Augustine. Maybe 15 minutes of uncomplicated driving. So the best of both worlds-- Saint Augustine , The Ponce Deleon. The fort, The Lightener Museum. The Cathedral,The Zorayda Palace ,The Alcazar but back to beautiful Anastasia",sonnienegroso,5.0 of 5 bubbles,Tampa,Florida,United States,Anastasia State Parktripadvisorreviews
2/23/2020,"Have visited the beach here - gorgeous, flat and wide.  Perfecgt for walking.  Also kayaked here with St. Aug Kayaks.  Well worht it!!",Laugh,5.0 of 5 bubbles,Palm Coast,Florida,United States,Anastasia State Parktripadvisorreviews
2/6/2020,"We moved to South Florida a little over a year ago and we camp here often, it's a 3 hr drive for us, but the pristine beach and nature trails are medicine for me and my 8 year old. There is a fort about 10 miles away maybe... Definitely worth it and just a great place for me and my sweet girl to create fun memories.  ",kcarlsonmel,5.0 of 5 bubbles,West Palm Beach,Florida,United States,Anastasia State Parktripadvisorreviews
2/1/2020,"We spent 4 days camping here in January. Such a well-maintained area and super friendly staff! We had a great time. We very much enjoyed site #24 for tent camping and we did go around to look at all the other sites. Many have quite a bit of privacy - but a few looked very close to each other with minimal to no barriers (trees / bushes / etc) between sites. It is nice that on the Reserve America site you can see some pics of your site as you are selecting which site - so that is very helpful. The bathrooms are kept super clean, shower facilities were nice and we always had at least warm water (and often hot water). The beach is spectacular and so close by! Since we were there during the “winter” we did not have any bugs at all. As in absolutely zero (other than one mosquito bite the whole time) - that was such a nice surprise! We brought our own kayaks and had no problem parking and getting them into the water - there are a couple of areas you can do so, we chose to go to the Watersports store (where you can rent them too) and it was super easy. If you go to the left when you exit the beach, then you can kayak up to the marina / light house and beyond (we did not go beyond as it was too windy) - if you kayak to the right after exiting the beach you will only have a short distance you can go - BUT - it is very peaceful and calm and there were some beautiful birds we saw in the marshes. So much to do in the short drive to St Augustine. We were a bit bummed that the weather was not great during our short trip - so we actually ended up going into St Augustine every day for a few hours - and really enjoyed many of the sites there - so much history! There is a beach grille store where you can buy some food, ice, firewood (though they were sold out of firewood when we were there - plenty of places within short driving distance where you can buy firewood - Gate gas station and also a large Publix nearby). The hiking trail is very short - but so much walking to do on the 4+miles of beach! Several areas with free WiFi. Electricity at each camp site - that was my first time camping with electricity so felt like a bit of a splurge - but certainly a nice convenience if you want it",mesmith14,5.0 of 5 bubbles,Winter Garden,Florida,United States,Anastasia State Parktripadvisorreviews
1/29/2020,"This was a very well kept up park, with pristine beaches and a beautiful example of the natural beauty of Florida.",Steve T,5.0 of 5 bubbles,Lehigh Acres,Florida,United States,Anastasia State Parktripadvisorreviews
1/8/2020,"The beach is pristine. Such beautiful natural environment. We went during off season, so only experienced people walking and enjoying the waves hitting the shore. Many birds and even some dolphins. A must see if you like state parks. ",Teri64_11,5.0 of 5 bubbles,Venice,Florida,United States,Anastasia State Parktripadvisorreviews
1/8/2020,This seaside camping park is a beautiful place to visit even if you do not plan to camp.  Lots of sites for tents and RVs.  Family friendly entertainment,Mary R,5.0 of 5 bubbles,Madeira Beach,Florida,United States,Anastasia State Parktripadvisorreviews
11/23/2019,"Park itself is wonderful, program was true disappointment. I understand that speaker was a volunteer, but we expected to hear about turtles, and their life,  not about hers.",klokan0426,2.0 of 5 bubbles,St. Augustine,Florida,United States,Anastasia State Parktripadvisorreviews
10/26/2019,"The staff is helpful and friendly.  The campsites are nice. The bathrooms are clean.  The only problem is that dogs are not allowed on the beach.  That is the only reason for not giving 5 stars.  St Augustine has dog friendly beaches but the the park does not follow suit.  Other than that, it really is a peaceful beautiful place to unwind after spending a day in the city.",dfox186,4.0 of 5 bubbles,Lake Mary,Florida,United States,Anastasia State Parktripadvisorreviews
10/21/2019,"This gem in the Florida State Parks is the perfect place to take a break. Sizable camping sites that are clean and easy to back into. Water and electric hook up. Short walk to the beach, ride a bike or drive. The 4 miles of beach is pristine. We saw many turtles around.We would come back again and spend more time here. Bathrooms and showers are super clean",wayne g,5.0 of 5 bubbles,Daytona Beach,Florida,United States,Anastasia State Parktripadvisorreviews
9/21/2019,"Old Florida greets you as you park and get ready for the walk to the beach. Sand dunes, sea oats, and clean facilities make this a very cool place to spend the day on the beach. Search for sharks teeth at low tide and enjoy NO CARS driving on the beach! Besides the ocean, there are estuaries that can be explored with a kayak or paddleboard. ",Bamafan,5.0 of 5 bubbles,Edgewater,Florida,United States,Anastasia State Parktripadvisorreviews
